sale normalSale store ad discount discountSEK week
12 5.2 158 1 29.86 8.3 4
59 23.5 159 1 26.42 7 4
35 9.25 160 1 26.42 7 4
48 6.2 161 0 NA NA 2
16 7.6 164 1 26.42 7 4
5 2.2 165 1 29.86 8.3 4
11 10.8 166 1 26.42 7 4
39 4 167 0 NA NA 2
46 8.8 169 0 NA NA 2
20 6.5 171 1 26.42 7 4
19 4 172 1 26.42 7 4
16 8.2 173 1 29.86 8.3 4
123 11.8 176 0 NA NA 2
12 4 179 1 29.86 8.3 4
58 20.25 180 1 21.69 5.4 4
26 5.5 181 1 26.42 7 4
13 2 182 1 26.42 7 4
11 6.6 184 1 29.86 8.3 4
16 6.2 186 1 29.86 8.3 4
11 5.2 188 1 26.42 7 4
17 4 189 1 29.86 8.3 4
13 4.6 193 1 29.86 8.3 4
22 5.2 197 1 29.86 8.3 4
25 8 198 0 NA NA 2
9 4.6 199 1 29.86 8.3 4
7 4.8 201 1 26.42 7 4
55 8.2 203 0 NA NA 2
5 3 204 1 29.86 8.3 4
7 3.25 205 1 26.42 7 4
11 1.6 207 1 29.86 8.3 4
24 7.6 209 1 26.42 7 4
12 10 210 1 26.42 7 4
4 1.2 211 1 29.86 8.3 4
45 4.6 212 0 NA NA 2
27 18.2 213 1 26.42 7 4
58 20 214 1 29.86 8.3 4
29 9.2 216 1 29.86 8.3 4
191 22.2 217 0 NA NA 2
14 13.25 219 1 29.86 8.3 4
20 12.4 221 1 26.42 7 4
10 1.8 224 1 29.86 8.3 4
15 3.6 226 1 26.42 7 4
22 11 1 1 29.86 8.3 4
15 7.4 2 1 29.86 8.3 4
18 10 3 1 29.86 8.3 4
24 7.33 4 1 29.86 8.3 4
16 9.25 5 1 29.86 8.3 4
28 11.4 6 1 29.86 8.3 4
21 5.25 7 1 29.86 8.3 4
30 8.6 8 1 18.41 4.4 4
133 21 9 1 18.41 4.4 4
243 37.6 10 0 NA NA 2
20 14.8 11 1 18.41 4.4 4
62 9.8 12 1 29.86 8.3 4
3 3.75 13 0 NA NA 4
10 9.25 14 1 29.86 8.3 4
33 9.25 15 1 29.86 8.3 4
15 6.6 16 1 29.86 8.3 4
180 24.25 17 0 NA NA 2
84 12.8 18 0 NA NA 2
37 17 19 1 29.86 8.3 4
22 11.6 20 1 29.86 8.3 4
44 14.6 21 0 NA NA 2
50 18.5 227 1 26.42 7 4
8 6.4 228 1 26.42 7 4
17 2.6 229 1 29.86 8.3 4
28 5.25 230 1 26.42 7 4
11 1 231 1 29.86 8.3 4
6 4.6 232 1 29.86 8.3 4
31 11.5 22 0 NA NA 2
18 11 24 1 29.86 8.3 4
33 11.33 29 1 29.86 8.3 4
13 5.75 30 1 29.86 8.3 4
18 4.75 31 1 29.86 8.3 4
21 6 32 1 29.86 8.3 4
13 11 33 1 29.86 8.3 4
13 6 36 1 29.86 8.3 4
72 19.4 38 1 29.86 8.3 4
45 15.8 41 1 29.86 8.3 4
56 10.6 42 1 29.86 8.3 4
10 3.6 44 1 29.86 8.3 4
35 11.8 47 1 29.86 8.3 4
19 6 48 1 29.86 8.3 4
6 6.4 49 1 29.86 8.3 4
26 9.2 50 1 29.86 8.3 4
23 8.6 51 1 29.86 8.3 4
23 8.8 54 1 29.86 8.3 4
33 15.8 55 1 29.86 8.3 4
17 8 56 1 29.86 8.3 4
23 9.2 58 1 29.86 8.3 4
9 5.2 59 1 29.86 8.3 4
15 6 60 1 29.86 8.3 4
12 11.8 62 1 29.86 8.3 4
27 11.2 63 1 21.69 5.4 4
24 11.5 72 1 29.86 8.3 4
24 4 74 1 29.86 8.3 4
24 10.8 75 1 29.86 8.3 4
17 4 78 1 29.86 8.3 4
21 8.2 80 1 29.86 8.3 4
20 9.8 81 1 29.86 8.3 4
9 6.6 82 1 29.86 8.3 4
1 0.4 83 1 29.86 8.3 4
25 15.4 84 1 29.86 8.3 4
37 11.6 85 1 29.86 8.3 4
19 11.25 86 1 29.86 8.3 4
6 6.67 92 1 29.86 8.3 4
17 9.8 94 1 29.86 8.3 4
7 4.5 96 1 29.86 8.3 4
39 13 236 1 26.42 7 4
39 7 237 1 26.42 7 4
21 3.25 238 1 26.42 7 4
111 23.2 239 0 NA NA 2
52 12.5 240 1 26.42 7 4
41 7.25 242 1 26.42 7 4
12 6.4 243 1 29.86 8.3 4
22 3.4 245 1 29.86 8.3 4
13 2.6 246 1 29.86 8.3 4
10 5.4 247 1 21.69 5.4 4
36 10.6 250 0 NA NA 2
18 11.25 252 1 26.42 7 4
35 4 253 0 NA NA 2
21 6.8 254 1 26.42 7 4
78 14.6 256 0 NA NA 2
24 6.2 257 0 NA NA 2
23 13.4 258 1 21.69 5.4 4
131 12 259 0 NA NA 2
7 2.4 260 1 29.86 8.3 4
13 4.75 261 1 26.42 7 4
24 8.25 262 1 26.42 7 4
33 12 263 1 26.42 7 4
